 , ,QR LinkInstance data csv
Course:, ,ECE3246 - SECURITY AND CRYPTOGRAPHY (FOE_CYB, TRIM : 1820)
CourseID:, ,368
CoordID:, ,1542024588

TTID,Validity,Result status
1,False,You are not register to this class.
2,False,You are not register to this class.
3,False,You are not register to this class.
4,False,You are not register to this class.
5,False,You are not register to this class.
6,False,You are not register to this class.
7,False,You are not register to this class.
8,False,You are not register to this class.
9,False,You are not register to this class.
10,False,You are not register to this class.
11,False,You are not register to this class.
12,False,You are not register to this class.
13,False,You are not register to this class.
14,False,You are not register to this class.
15,False,You are not register to this class.
16,False,You are not register to this class.
17,False,You are not register to this class.
18,False,You are not register to this class.
19,False,You are not register to this class.
20,False,You are not register to this class.
21,False,You are not register to this class.
22,False,You are not register to this class.
23,False,You are not register to this class.
24,False,You are not register to this class.
25,False,You are not register to this class.
26,False,You are not register to this class.
27,False,You are not register to this class.
28,False,You are not register to this class.
29,False,You are not register to this class.
30,False,You are not register to this class.
31,False,You are not register to this class.
32,False,You are not register to this class.
33,False,You are not register to this class.
34,False,You are not register to this class.
35,False,You are not register to this class.
36,False,You are not register to this class.
37,False,You are not register to this class.
38,False,You are not register to this class.
39,False,You are not register to this class.
40,False,You are not register to this class.
41,False,You are not register to this class.
42,False,You are not register to this class.
43,False,You are not register to this class.
44,False,You are not register to this class.
45,False,You are not register to this class.
46,False,You are not register to this class.
47,False,You are not register to this class.
48,False,You are not register to this class.
49,False,You are not register to this class.
50,False,You are not register to this class.
51,False,You are not register to this class.
52,False,You are not register to this class.
53,False,You are not register to this class.
54,False,You are not register to this class.
55,False,You are not register to this class.
56,False,You are not register to this class.
57,False,You are not register to this class.
58,False,You are not register to this class.
59,False,You are not register to this class.
60,False,You are not register to this class.
61,False,You are not register to this class.
62,False,You are not register to this class.
63,False,You are not register to this class.
64,False,You are not register to this class.
65,False,You are not register to this class.
66,False,You are not register to this class.
67,False,You are not register to this class.
68,False,You are not register to this class.
69,False,You are not register to this class.
70,False,You are not register to this class.
71,False,You are not register to this class.
72,False,You are not register to this class.
73,False,You are not register to this class.
74,False,You are not register to this class.
75,False,You are not register to this class.
76,False,You are not register to this class.
77,False,You are not register to this class.
78,False,You are not register to this class.
79,False,You are not register to this class.
80,False,You are not register to this class.
81,False,You are not register to this class.
82,False,You are not register to this class.
83,False,You are not register to this class.
84,False,You are not register to this class.
85,False,You are not register to this class.
86,False,You are not register to this class.
87,False,You are not register to this class.
88,False,You are not register to this class.
89,False,You are not register to this class.
90,False,You are not register to this class.
91,False,You are not register to this class.
92,False,You are not register to this class.
93,False,You are not register to this class.
94,False,You are not register to this class.
95,False,You are not register to this class.
96,False,You are not register to this class.
97,False,You are not register to this class.
98,False,You are not register to this class.
99,False,You are not register to this class.
100,False,You are not register to this class.
101,False,You are not register to this class.
102,False,You are not register to this class.
103,False,You are not register to this class.
104,False,You are not register to this class.
105,False,You are not register to this class.
106,False,You are not register to this class.
107,False,You are not register to this class.
108,False,You are not register to this class.
109,False,You are not register to this class.
110,False,You are not register to this class.
111,False,You are not register to this class.
112,False,You are not register to this class.
113,False,You are not register to this class.
114,False,You are not register to this class.
115,False,You are not register to this class.
116,False,You are not register to this class.
117,False,You are not register to this class.
118,False,You are not register to this class.
119,False,You are not register to this class.
120,False,You are not register to this class.
121,False,You are not register to this class.
122,False,You are not register to this class.
123,False,You are not register to this class.
124,False,You are not register to this class.
125,False,You are not register to this class.
126,False,You are not register to this class.
127,False,You are not register to this class.
128,False,You are not register to this class.
129,False,You are not register to this class.
130,False,You are not register to this class.
131,False,You are not register to this class.
132,False,You are not register to this class.
