 , ,QR LinkInstance data csv
Course, ,ECE3246 - SECURITY AND CRYPTOGRAPHY (FOE_CYB, TRIM : 1820)
CourseID, ,368
CoordID, ,1542024588

TTID,Validity,Result status
4600,False,You are not register to this class.
4601,False,You are not register to this class.
4602,False,You are not register to this class.
4603,False,You are not register to this class.
4604,False,You are not register to this class.
4605,False,You are not register to this class.
4606,False,You are not register to this class.
4607,False,You are not register to this class.
4608,False,You are not register to this class.
4609,False,You are not register to this class.
4610,False,You are not register to this class.
4611,False,You are not register to this class.
4612,False,You are not register to this class.
4613,False,You are not register to this class.
4614,False,You are not register to this class.
4615,False,You are not register to this class.
4616,False,You are not register to this class.
4617,False,You are not register to this class.
4618,False,You are not register to this class.
4619,False,You are not register to this class.
4620,False,You are not register to this class.
4621,False,You are not register to this class.
4622,False,You are not register to this class.
4623,False,You are not register to this class.
4624,False,You are not register to this class.
4625,False,You are not register to this class.
4626,False,You are not register to this class.
4627,False,You are not register to this class.
4628,False,You are not register to this class.
4629,False,You are not register to this class.
4630,False,You are not register to this class.
4631,False,You are not register to this class.
4632,False,You are not register to this class.
4633,False,You are not register to this class.
4634,False,You are not register to this class.
4635,False,You are not register to this class.
4636,False,You are not register to this class.
4637,False,You are not register to this class.
4638,False,You are not register to this class.
4639,False,You are not register to this class.
4640,False,You are not register to this class.
4641,False,You are not register to this class.
4642,False,You are not register to this class.
4643,False,You are not register to this class.
4644,False,You are not register to this class.
4645,False,You are not register to this class.
4646,False,You are not register to this class.
4647,False,You are not register to this class.
4648,False,You are not register to this class.
4649,False,You are not register to this class.
4650,False,You are not register to this class.
4651,False,You are not register to this class.
4652,False,You are not register to this class.
4653,False,You are not register to this class.
4654,False,You are not register to this class.
4655,False,You are not register to this class.
4656,False,You are not register to this class.
4657,False,You are not register to this class.
4658,False,You are not register to this class.
4659,False,You are not register to this class.
4660,False,You are not register to this class.
4661,False,You are not register to this class.
4662,False,You are not register to this class.
4663,False,You are not register to this class.
4664,False,You are not register to this class.
4665,False,You are not register to this class.
4666,False,You are not register to this class.
4667,False,You are not register to this class.
4668,False,You are not register to this class.
4669,False,You are not register to this class.
4670,False,You are not register to this class.
4671,False,You are not register to this class.
4672,False,You are not register to this class.
4673,False,You are not register to this class.
4674,False,You are not register to this class.
4675,False,You are not register to this class.
4676,False,You are not register to this class.
4677,False,You are not register to this class.
4678,False,You are not register to this class.
4679,False,You are not register to this class.
4680,False,You are not register to this class.
4681,False,You are not register to this class.
4682,False,You are not register to this class.
4683,False,You are not register to this class.
4684,False,You are not register to this class.
4685,False,You are not register to this class.
4686,False,You are not register to this class.
4687,False,You are not register to this class.
4688,False,You are not register to this class.
4689,False,You are not register to this class.
4690,False,You are not register to this class.
4691,False,You are not register to this class.
4692,False,You are not register to this class.
4693,False,You are not register to this class.
4694,True,Attendance already recorded for this student ID.
4695,False,You are not register to this class.
4696,False,You are not register to this class.
4697,False,You are not register to this class.
4698,False,You are not register to this class.
4699,False,You are not register to this class.
